assignment_id	assignment_name	assignment_description	course_name	course_code	duedate	gradingduedate	max_grade	timemodified	completionsubmit	requiresubmissionstatement	teamsubmission	maxattempts	total_submissions	submitted_count	unique_students	graded_count	average_grade	highest_grade	lowest_grade
2053	Midterm Exam		ACCT-312-2021T2T2 Acctg II	ACCT-312-2021T2T2	1621002600	1621962000	100	1620829489	1	0	0	1	40	37	40	37	91.162162162	100.00000	50.00000
1668	Final Exam		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1615813200	1616778000	100	1615637736	1	0	0	1	21	19	21	19	86.315789473	100.00000	0.00000
1317	Homework 13		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1610945940	1611507600	100	1610358429	1	0	0	1	21	19	21	19	81.421052631	100.00000	40.00000
1392	Homework 14	<p dir="ltr" style="text-align: left;">Handwriting, please.</p>	ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1611939540	1614445200	100	1611759891	1	0	0	1	22	19	22	19	92.473684210	100.00000	50.00000
1478	Homework 15		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1613235540	1613840400	100	1612685180	1	0	0	1	21	18	21	19	96.222222222	100.00000	79.00000
1577	Homework 16		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1614661140	1615482000	100	1614332986	1	0	0	1	21	18	21	18	90.000000000	100.00000	60.00000
1523	Midterm		ACCT-313-2020-2021T1 Acctg Principles III	ACCT-313-2020-2021T1	1613383200	1614358800	100	1613203110	1	0	0	1	21	19	21	19	81.421052631	100.00000	24.00000
400	Final paper	<p>Select one problem from section A or B on chapter 6 by yourself and submit as the final paper. Good luck! <br></p>	ACCT-432 Cost Acctg I	ACCT-432-2019-2020T3	1597165200	1597942800	100	1596774546	1	0	0	1	5	4	5	4	NULL	-1.00000	NULL
353	Home work chapter 05	<p>Exercise 5-10 (Page 193) ,&nbsp;Exercise 5-12 (193), Exercise 5-13 (104).</p><p>Please note that the deadline is July 26, 2020<br>\n<br><br></p>	ACCT-432 Cost Acctg I	ACCT-432-2019-2020T3	1595696400	1596301200	100	1595142545	1	0	0	1	4	2	4	2	NULL	-1.00000	NULL
80	Homework	<p>Check on your textbook (page 34) Exercise 1-13&nbsp; and&nbsp;Exercise 1-14. The due date is June 03, 2020.<br><br></p>	ACCT-432 Cost Acctg I	ACCT-432-2019-2020T3	1591117200	1591722000	100	1590584880	1	1	0	1	5	3	5	4	NULL	-1.00000	NULL
302	Homework Chapter 03	<p>Exercise 3-11 \non page 115-116. Please complete with the flowchart of costs for a process<br>operation. Supporting calculation is required to support the result filled in the blank.</p><p><b>Due date is July 07, 2020.</b><br><br></p>	ACCT-432 Cost Acctg I	ACCT-432-2019-2020T3	1594137600	1594918800	100	1593751094	1	0	0	1	3	1	3	1	NULL	-1.00000	NULL
305	Homework Chapter 04	<p><b>Deadline is July 13, 2020</b><br></p><p>Exercise 4-3 \non page 152.</p><p><b>Required</b><br>1. Compute the plantwide overhead rate using direct labor hours as the base.<br>2. Determine the overhead cost assigned to each product line using the plantwide rate computed in requirement 1.<br>3. Compute a departmental overhead rate for the molding department based on machine hours and a department overhead rate for the trimming department based on direct labor hours.<br>4. Determine the total overhead cost assigned to each product line using the departmental overhead rates from requirement 3.<br>5. Determine the overhead cost per unit for each product line using the plantwide rate. Compare these costs to the cost per unit if departmental rates were used. \n<br><br><br></p>	ACCT-432 Cost Acctg I	ACCT-432-2019-2020T3	1594656000	1594918800	100	1593751758	1	0	0	1	4	3	4	3	NULL	-1.00000	NULL
104	Homework Chapter 2	<h4>Check sample on demonstration problem in page 61 to 64 to prepare the homework as following: <br></h4><h4>Exercise 2-5 and exercise 2-6 on page 69.</h4><div><br></div><div><h5>Deadline on June 08, 2020.</h5></div><p><br></p>	ACCT-432 Cost Acctg I	ACCT-432-2019-2020T3	1591549200	1592154000	100	1590975510	1	0	0	1	5	4	5	4	NULL	-1.00000	NULL
2413	Final Exam		ACCT-432-2021T2T2 Cost Acctg	ACCT-432-2021T2T2	1625220000	1626195600	100	1625042537	1	0	0	1	39	38	39	38	95.394736842	100.00000	80.00000
1786	Homework 1		ACCT-432-2021T2T2 Cost Acctg	ACCT-432-2021T2T2	1618362000	1618938000	100	1617812621	1	0	0	1	43	40	43	42	90.875000000	100.00000	50.00000
1924	Homework 2		ACCT-432-2021T2T2 Cost Acctg	ACCT-432-2021T2T2	1619830800	1620579600	100	1619450192	1	0	0	1	41	39	41	39	73.846153846	100.00000	40.00000
1987	Homework 3		ACCT-432-2021T2T2 Cost Acctg	ACCT-432-2021T2T2	1620730800	1621616400	100	1620490162	1	0	0	1	40	39	40	39	96.948717948	100.00000	50.00000
2232	Homework 4		ACCT-432-2021T2T2 Cost Acctg	ACCT-432-2021T2T2	1623204000	1624122000	100	1622941660	1	0	0	1	41	35	41	39	77.800000000	100.00000	40.00000
2376	Homework 6		ACCT-432-2021T2T2 Cost Acctg	ACCT-432-2021T2T2	1624777200	1625763600	100	1624598256	1	0	0	1	39	38	39	38	92.763157894	100.00000	70.00000
2095	Midterm Exam		ACCT-432-2021T2T2 Cost Acctg	ACCT-432-2021T2T2	1621434600	1621616400	100	1621334219	1	0	0	1	41	38	41	38	85.368421052	100.00000	40.00000
1434	Assignment #1		ANTH-102-2020-2021T1 Cult Anthropology	ANTH-102-2020-2021T1	1612371600	1612976400	100	1611823338	1	0	0	1	86	79	86	79	88.936708860	100.00000	60.00000
